# .loco/eval/20260721T043543Z
run	outcome	passed	sr_error	sr_correction	sr_block	repeat_corr	finish_missing	finish_args_corr	finish_nudge	status_note	pipe_note	empty_test_note	verify_total	verify_zero	verify_allpass	args_tool_key	args_tool_switch	length_retry	verify_nudge_pipe	finish_nudge_pipe	status_pipe_qual	status_no_summary	model_diff	model_diff_trunc	sr_recovered	sr_recovery_denom	finish_missing_maxrun	perturb_turns	stop_cause	first_mut_turn	cargo_after_mut	zero_mut_end	status_in_args	sr_files	verify_failed	sr_corr_total	perturb_turns_ext	parse_fail_first	finish_nudge_total	pipe_unreleased	max_prompt	max_est	est_ratio_max	budget_ratio_max	pack_turns	pack_elided	pack_dropped	overflow_shrink	overflow_giveup	inline_sys_turns	protected_edits	nav_hit	fix_hit	reads	greps	lists
run-fd-1873-path-sep-0	timeout	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-	0	0	timeout	0	-	0	0	0	0	0	0	3244	3097	1.0620	0.1257	0	0	0	0	0	0	0	0	0	1	1	0
run-fd-1873-path-sep-1	timeout	False	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	-	7	1	-	0	-	1	0	0	0	0	0	12284	11055	1.1268	0.4761	0	0	0	0	0	0	1	1	1	4	1	1
run-fd-1873-path-sep-2	timeout	False	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	-	12	1	-	0	-	0	0	0	0	0	3	17331	11889	1.7874	0.6716	0	0	0	0	0	0	0	1	1	3	0	0
run-fd-404-min-exact-depth-0	repetition_stop	False	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	other	0	0	repetition_stop	0	-	0	0	0	0	0	0	8370	8601	1.0725	0.3244	0	0	0	0	0	0	0	1	0	2	7	0
run-fd-404-min-exact-depth-1	max_turns	False	1	0	0	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	-	6	1	-	0	walk.rs:1	0	0	0	0	0	2	9715	7981	1.2202	0.3765	0	0	0	0	0	0	0	1	1	5	1	0
run-fd-404-min-exact-depth-2	max_turns	False	0	0	0	0	0	0	0	8	9	0	0	0	0	7	0	0	0	0	0	0	5	0	0	0	0	0	-	7	1	-	0	-	0	0	0	0	0	9	17304	17164	1.0725	0.6706	0	0	0	0	0	0	0	1	1	5	0	0
run-fd-535-prune-0	max_turns	False	0	0	0	0	0	0	0	7	0	0	0	0	0	15	0	0	0	0	0	1	1	0	0	0	0	0	-	12	0	-	0	-	0	0	0	0	0	0	21034	22161	1.0709	0.8151	0	0	0	0	0	0	0	1	1	4	1	0
run-fd-535-prune-1	timeout	False	0	0	0	0	0	0	0	5	0	0	0	0	0	8	0	2	0	0	0	0	0	0	0	0	0	0	-	0	0	timeout	0	-	0	0	0	0	0	0	16721	17739	1.0979	0.6480	0	0	0	0	0	0	0	1	0	6	0	0
run-fd-535-prune-2	max_turns	False	1	0	0	0	0	0	0	9	0	0	0	0	0	2	0	0	0	0	0	0	3	1	0	1	0	0	-	22	0	-	0	walk.rs:1	0	0	0	0	0	0	18928	19663	1.0709	0.7335	0	0	0	0	0	0	0	1	1	4	0	0
run-fd-615-hidden-dot-pattern-0	max_turns	False	0	0	0	0	0	0	0	6	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	-	0	0	max_turns	0	-	0	0	0	0	0	0	23692	20224	1.2569	0.9182	0	0	0	0	0	0	0	1	0	8	0	0
run-fd-615-hidden-dot-pattern-1	timeout	False	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	-	0	0	timeout	0	-	0	0	0	0	0	0	19400	15486	1.4563	0.7518	0	0	0	0	0	0	0	1	0	7	0	0
run-fd-615-hidden-dot-pattern-2	timeout	False	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	-	0	0	timeout	0	-	0	0	0	0	0	0	15964	13292	1.2584	0.6187	0	0	0	0	0	0	0	1	0	5	0	0
# summary sr_error=2 sr_correction=0 sr_block=0 repeat_corr=1 finish_missing=0 finish_args_corr=0 finish_nudge=0 status_note=64 pipe_note=14 empty_test_note=0 verify_total=1 verify_zero=0 verify_allpass=0 args_tool_key=39 args_tool_switch=0 length_retry=10 verify_nudge_pipe=0 finish_nudge_pipe=0 status_pipe_qual=0 status_no_summary=2 model_diff=14 model_diff_trunc=1 recovered=0/2 stops sr=0 finish=0 other=1 zero_mut max_turns=1 finished=0 other=5 cargo_after_mut=4/6 parse_fail_first=0
# tokens max_prompt=23692 est_ratio_max=1.7874 pack_turns=0 overflow_shrink=0 overflow_giveup=0 protected_edits=1
# .loco/eval/20260721T060346Z
run	outcome	passed	sr_error	sr_correction	sr_block	repeat_corr	finish_missing	finish_args_corr	finish_nudge	status_note	pipe_note	empty_test_note	verify_total	verify_zero	verify_allpass	args_tool_key	args_tool_switch	length_retry	verify_nudge_pipe	finish_nudge_pipe	status_pipe_qual	status_no_summary	model_diff	model_diff_trunc	sr_recovered	sr_recovery_denom	finish_missing_maxrun	perturb_turns	stop_cause	first_mut_turn	cargo_after_mut	zero_mut_end	status_in_args	sr_files	verify_failed	sr_corr_total	perturb_turns_ext	parse_fail_first	finish_nudge_total	pipe_unreleased	max_prompt	max_est	est_ratio_max	budget_ratio_max	pack_turns	pack_elided	pack_dropped	overflow_shrink	overflow_giveup	inline_sys_turns	protected_edits	nav_hit	fix_hit	reads	greps	lists
run-delta-1089-whole-file-commit-0	timeout	False	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	-	0	0	timeout	0	-	0	0	0	0	0	0	12812	12181	1.1641	0.4965	0	0	0	0	0	0	0	1	0	5	0	1
run-delta-1089-whole-file-commit-1	timeout	False	0	0	0	0	0	0	0	7	2	0	0	0	0	4	1	2	0	0	0	0	1	0	0	0	0	0	-	11	1	-	0	-	0	0	0	0	0	2	18918	16589	1.1632	0.7331	0	0	0	0	0	0	0	1	0	6	1	1
run-delta-1089-whole-file-commit-2	max_turns	False	0	0	0	0	0	0	0	8	8	0	0	0	0	9	0	1	0	0	0	0	3	2	0	0	0	0	-	9	1	-	0	-	0	0	0	0	0	8	18502	17135	1.1627	0.7170	0	0	0	0	0	0	0	1	0	6	0	1
run-fd-675-number-parse-error-0	max_turns	False	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	-	20	0	-	0	-	0	0	0	0	0	0	15816	15823	1.0827	0.6129	0	0	0	0	0	0	0	1	1	3	1	0
run-fd-675-number-parse-error-1	max_turns	False	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	-	20	0	-	0	-	0	0	0	0	0	0	11868	11422	1.0974	0.4599	0	0	0	0	0	0	0	1	1	3	2	0
run-fd-675-number-parse-error-2	timeout	False	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	-	0	0	timeout	0	-	0	0	0	0	0	0	7442	7227	1.0827	0.2884	0	0	0	0	0	0	0	1	0	2	0	0
run-fd-898-strip-cwd-exec-0	max_turns	False	0	0	0	0	0	0	0	6	0	0	2	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	-	9	1	-	0	-	2	0	0	0	0	0	25882	25480	1.0879	1.0030	1	1	0	0	0	0	0	1	0	7	2	0
