0.00.083.738 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.085.251 I srv    load_model: loading model '/Users/sgj/.lmstudio/models/deepreinforce-ai/Ornith-1.0-9B-GGUF/ornith-1.0-9b-Q4_K_M.gguf'
0.00.876.386 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 37632, kv_unified = 'false'
0.00.889.029 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.00.889.036 I srv  llama_server: model loaded
0.00.889.037 I srv  llama_server: listening on http://127.0.0.1:8080
0.03.131.859 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.03.131.985 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.05.314.919 I slot print_timing: id  0 | task 0 | prompt eval time =     283.58 ms /    11 tokens (   25.78 ms per token,    38.79 tokens per second)
0.05.314.925 I slot print_timing: id  0 | task 0 |        eval time =    1899.33 ms /    64 tokens (   29.68 ms per token,    33.70 tokens per second)
0.05.314.926 I slot print_timing: id  0 | task 0 |       total time =    2182.92 ms /    75 tokens
0.05.314.926 I slot print_timing: id  0 | task 0 |    graphs reused =         63
0.05.314.962 I slot      release: id  0 | task 0 | stop processing: n_tokens = 74, truncated = 0
1.31.226.592 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 497782587871
1.31.233.218 I slot launch_slot_: id  0 | task 66 | processing task, is_child = 0
1.38.288.890 I slot print_timing: id  0 | task 66 | n_decoded =    107, tg =  35.35 t/s, tg_3s =  35.35 t/s
1.40.050.077 I slot print_timing: id  0 | task 66 | prompt eval time =    4028.63 ms /  1285 tokens (    3.14 ms per token,   318.97 tokens per second)
1.40.050.080 I slot print_timing: id  0 | task 66 |        eval time =    4788.22 ms /   167 tokens (   28.67 ms per token,    34.88 tokens per second)
1.40.050.080 I slot print_timing: id  0 | task 66 |       total time =    8816.85 ms /  1452 tokens
1.40.050.080 I slot print_timing: id  0 | task 66 |    graphs reused =        228
1.40.050.131 I slot      release: id  0 | task 66 | stop processing: n_tokens = 1451, truncated = 0
1.40.064.599 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.408 (> 0.100 thold), f_keep = 0.885
1.40.064.716 I slot launch_slot_: id  0 | task 237 | processing task, is_child = 0
1.44.193.982 I slot print_timing: id  0 | task 237 | prompt processing, n_tokens =   1655, progress = 0.84, t =   4.13 s / 400.80 tokens per second
1.45.053.462 I slot print_timing: id  0 | task 237 | prompt processing, n_tokens =   2167, progress = 1.00, t =   4.99 s / 434.38 tokens per second
1.48.481.746 I slot print_timing: id  0 | task 237 | prompt eval time =    6621.54 ms /  2171 tokens (    3.05 ms per token,   327.87 tokens per second)
1.48.481.748 I slot print_timing: id  0 | task 237 |        eval time =    1795.49 ms /    63 tokens (   28.50 ms per token,    35.09 tokens per second)
1.48.481.749 I slot print_timing: id  0 | task 237 |       total time =    8417.02 ms /  2234 tokens
1.48.481.749 I slot print_timing: id  0 | task 237 |    graphs reused =        289
1.48.481.857 I slot      release: id  0 | task 237 | stop processing: n_tokens = 3210, truncated = 0
1.48.496.560 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.977 (> 0.100 thold), f_keep = 0.980
1.48.496.672 I slot launch_slot_: id  0 | task 304 | processing task, is_child = 0
1.51.524.492 I slot print_timing: id  0 | task 304 | prompt processing, n_tokens =   1372, progress = 0.84, t =   3.03 s / 453.13 tokens per second
1.52.578.789 I slot print_timing: id  0 | task 304 | prompt processing, n_tokens =   1863, progress = 0.99, t =   4.08 s / 456.38 tokens per second
1.54.108.915 I slot print_timing: id  0 | task 304 | prompt processing, n_tokens =   1884, progress = 1.00, t =   5.61 s / 335.70 tokens per second
1.57.373.875 I slot print_timing: id  0 | task 304 | n_decoded =    100, tg =  32.71 t/s, tg_3s =  32.71 t/s
2.00.386.055 I slot print_timing: id  0 | task 304 | n_decoded =    201, tg =  33.12 t/s, tg_3s =  33.53 t/s
2.03.396.827 I slot print_timing: id  0 | task 304 | n_decoded =    302, tg =  33.26 t/s, tg_3s =  33.55 t/s
2.06.423.522 I slot print_timing: id  0 | task 304 | n_decoded =    401, tg =  33.12 t/s, tg_3s =  32.71 t/s
2.09.454.574 I slot print_timing: id  0 | task 304 | n_decoded =    501, tg =  33.10 t/s, tg_3s =  32.99 t/s
2.12.454.936 I slot print_timing: id  0 | task 304 | n_decoded =    599, tg =  33.02 t/s, tg_3s =  32.66 t/s
2.15.457.731 I slot print_timing: id  0 | task 304 | n_decoded =    697, tg =  32.97 t/s, tg_3s =  32.64 t/s
2.18.470.711 I slot print_timing: id  0 | task 304 | n_decoded =    796, tg =  32.96 t/s, tg_3s =  32.86 t/s
2.21.477.340 I slot print_timing: id  0 | task 304 | n_decoded =    895, tg =  32.95 t/s, tg_3s =  32.93 t/s
2.24.504.921 I slot print_timing: id  0 | task 304 | n_decoded =    994, tg =  32.93 t/s, tg_3s =  32.70 t/s
2.27.516.240 I slot print_timing: id  0 | task 304 | n_decoded =   1093, tg =  32.92 t/s, tg_3s =  32.88 t/s
2.30.519.522 I slot print_timing: id  0 | task 304 | n_decoded =   1192, tg =  32.93 t/s, tg_3s =  32.96 t/s
2.33.524.391 I slot print_timing: id  0 | task 304 | n_decoded =   1291, tg =  32.93 t/s, tg_3s =  32.95 t/s
